fig_num,name,num_parts
fig-002707,"Olivia - Bright Light Yellow Jacket, Dark Azure Skirt",4
fig-002708,"Stephanie - White Top, Medium Azure Skirt",4
fig-002709,"Mia - Orange Top, Olive Green Skirt",4
fig-002710,"Mia - Blue Plaid Shirt, Dark Purple Skirt",4
fig-002711,Cole (Possession),5
fig-002712,"Olivia - Magenta Top, Bright Light Yellow Skirt",4
fig-002713,"Emma - Light Aqua Top, Light Aqua Skirt",4
fig-002714,"Nina - Medium Azure Jacket, Dark Pink Skirt",4
fig-002715,"Emma - Dark Pink Top, Dark Pink Skirt",4
fig-002716,"Dr. Maria - White Lab Coat, Dark Turquoise Trousers",4
fig-002717,"Andrea - Dark Azure Bikini, Magenta Skirt",4
fig-002718,"Emma - Dark Blue Top, Light Aqua Skirt",4
fig-002719,"Olivia - Bright Light Yellow Top, Bright Light Yellow Skirt",4
fig-002720,"Mia - Lime Top, Dark Purple Skirt",4
fig-002721,Ghost Chain Master Wrayth,4
fig-002722,Zane in Airjitzu Outift with Neck Bracket and Tile with Clip (Possession),6
fig-002723,Frakjaw with Goggles,9
fig-002724,Kruncha,7
fig-002725,Jay DX (The Golden Weapons),4
fig-002726,Samukai,9
fig-002727,Kai DX (The Golden Weapons),4
fig-002728,Nuckal,7
fig-002729,Baby with White Body - Head with neck,2
fig-002730,Zane FS in Spinjitzu Slam Outfit,4
fig-002731,Lloyd (Legacy),4
fig-002732,Wyplash (Legacy),8
fig-002733,Stone Army Scout with Shoulder Armour (Legacy),5
fig-002734,Stone Army Warrior with Red Chin Guard (Legacy),7
fig-002735,Skylor in Jungle Robes (Tournament of Elements),5
fig-002736,Eyezor,4
fig-002737,Eyezorai,3
fig-002738,Master Yang with Neck Bracket and Tile with Clip,7
fig-002739,Cole in Honor Robes (Day of the Departed),5
fig-002740,Jay in Honor Robes (Day of the Departed),5
fig-002741,Kai in Honor Robes (Day of the Departed),5
fig-002742,Zane in Honor Robes (Day of the Departed),5
fig-002743,Chen with Cape,5
fig-002744,Zugu,5
fig-002745,Kapau'rai,3
fig-002746,Lloyd in Jungle Robes with Scabbard (Tournament of Elements),5
fig-002747,Commander Raggmunk,5
fig-002748,Maya,4
fig-002749,Nya with Shoulder Armour (Hands of Time),5
fig-002750,Ray,4
fig-002751,Lil' Nelson,4
fig-002752,Stone Army Scout with Short Legs,6
fig-002753,Cole RX,4
fig-002754,"Pythor P. Chumsworth, White (Day of the Departed)",3
fig-002755,Nya in Honor Robes (Day of the Departed),5
fig-002756,Jay in Honor Robes with Hair (Day of the Departed),6
fig-002757,General Kozu,7
fig-002758,General Cryptor,5
fig-002759,Master Wu with Pearl Gold Hat,5
fig-002760,Lloyd in Honor Robes with Hair (Day of the Departed),5
fig-002761,Lloyd (Hands of Time),4
fig-002762,Vermin,5
fig-002763,Snike,4
fig-002764,Clancee with Shoulder Armour,4
fig-002765,Nadakhan,6
fig-002766,"Zane, Echo Zane",4
fig-002767,Flintlocke with Shoulder Armour,6
fig-002768,Nya (Skybound),5
fig-002769,Jay with Dual Sided Head (Skybound),5
fig-002770,Dogshank (Big Fig),7
fig-002771,Cole Ghost with Head Wrap (Skybound),5
fig-002772,Master Wu (Skybound),6
fig-002773,Sqiffy with Neck Bracket,5
fig-002774,Nya with Neck Bracket and Tile with Clip,6
fig-002775,Kai (Skybound),4
fig-002776,Cole with Hair (Legacy) - Manter Torso,5
fig-002777,"Blacktron II - Jetpack, No Plate 1 x 1 Round",6
fig-002778,Overlord (Legacy),6
fig-002779,Lloyd (Legacy),5
fig-002780,Nindroid with Dual Sided Head (Legacy),4
fig-002781,Bonezai with Shoulder Armour,7
fig-002782,Kruncha with Horizontal Hand Clips,7
fig-002783,Nuckal with Horizontal Hand Clips,7
fig-002784,Kai (Secrets of the Forbidden Spinjitzu),5
fig-002785,Pyro Destroyer,4
fig-002786, Lloyd FS,4
fig-002787,Akita,5
fig-002788,Blizzard Sword Master,5
fig-002789,General Vex,5
fig-002790,Blizzard Archer,5
fig-002791,Daddy No Legs,28
fig-002792,Kai FS,4
fig-002793,Aspheera,4
fig-002794,Pyro Slayer with Neck Bracket,4
fig-002795,Pyro Slayer,3
fig-002796,Nya (Secrets of the Forbidden Spinjitzu),5
fig-002797,Master Wu with Fuzzy Cape,6
fig-002798,Char,4
fig-002799,Cole FS,4
fig-002800,Jay (Secrets of the Forbidden Spinjitzu),5
fig-002801,Zane (Hunted),6
fig-002802,Muzzle,5
fig-002803,Jay with Shoulder Armor (Hunted),6
fig-002804,Daddy No Legs with Printed Round Tile,27
fig-002805,Zane (Sons of Garmadon),6
fig-002806,Zane in White Training Gi,5
fig-002807,Skeleton with Short Black Leg,8
fig-002808,Mr. E with Helmet with Trans-Red Visor,6
fig-002809,Harumi in Princess Outfit (Sons of Garmadon),5
fig-002810, Chopper Maroon,5
fig-002811, Lord Garmadon (Resurrected),5
fig-002812,Hutchins,6
fig-002813,Cole with Scabbard (Sons of Garmadon),6
fig-002814,Harumi (Hunted),4
fig-002815, Jay (Sons of Garmadon),6
fig-002816,Killow (Big Fig),12
fig-002817,Skylor (Hunted),6
fig-002818,Nya with Dual Sided Head (Hunted),5
fig-002819, Lloyd with Hair (Hunted),4
fig-002820,Lloyd in White Training Gi,4
fig-002821,Nya in White Training Gi with Bob Cut Hair,4
fig-002822,Richie - Black Katana Holder,5
fig-002823,Kai / Digi Kai with Shoulder Armor,5
fig-002824,Jay / Digi Jay with Shoulder Armor,5
fig-002825,Hausner with Scabbard,5
fig-002826,"Kai, Avatar",4
fig-002827,Lord Garmadon with Single Torso (Legacy),5
fig-002828,Lasha (Legacy),4
fig-002829,Spitta (Legacy),3
fig-002830,"Pythor P. Chumsworth, Purple (Legacy)",3
fig-002831,Lord Garmadon (Legacy),6
fig-002832,Hausner,4
fig-002833,Cole / Digi Cole,4
fig-002834,Unagami,6
fig-002835,Unagami with Trans-Neon Orange Base,8
fig-002836,Sushimi,5
fig-002837,Cole / Digi Cole with Scabbard,5
fig-002838,Red Visor,6
fig-002839,Zane / Avatar Zane Pink,4
fig-002840,Cole / Avatar Cole,5
fig-002841,Harumi / Avatar Harumi,4
fig-002842,Nya / Avatar Nya,5
fig-002843,Scott,4
fig-002844,Okino,4
fig-002845, Stone Army Scout (Legacy),5
fig-002846,"Lloyd / Golden Ninja, Right Shoulder Armor (Legacy)",5
fig-002847,General Kozu (Legacy),7
fig-002848,Nya / Digi Nya,5
fig-002849,Nindroid with Neck Bracket (Legacy),4
fig-002850,Nindroid with Short Legs and Back Connector (Legacy),9
fig-002851,Zane / Golden Ninja (Legacy),4
fig-002852,Nindroid Warrior with Single Sided Head (Legacy),4
fig-002853,Scott with Neck Bracket,5
fig-002854,"Jay, Merchant",5
fig-002855,Nindroid (Legacy),3
fig-002856,Nuckal (Legacy),8
fig-002857,Kruncha (Legacy),8
fig-002858,Samurai X / Nya (Legacy),7
fig-002859,Lloyd / Golden Ninja (Legacy),4
fig-002860,Stone Army Scout with Short Legs and Quiver (Legacy),5
fig-002861,Blizzard Warrior / Samurai,5
fig-002862,Lloyd with Hair (Secrets of the Forbidden Spinjitzu),6
fig-002863,Zane FS,4
fig-002864,Lloyd (Secrets of the Forbidden Spinjitzu),5
fig-002865,Lloyd in Sons of Garmadon Outfit (Legacy),4
fig-002866, Jay FS,4
fig-002867, Zane (Secrets of the Forbidden Spinjitzu),5
fig-002868,Wyplash (Legacy),7
fig-002869, Pyro Whipper with Shoulder Armor,4
fig-002870,Nya FS,4
fig-002871, Kai (Sons of Garmadon),6
fig-002872,Luke Cunningham,6
fig-002873,Shark Army Thug with Yellow Arms,4
fig-002874,Kai with Hair and Shoulder Armor (LEGO Ninjago Movie),5
fig-002875,Misako (Koko) / Lady Iron Dragon,6
fig-002876,Ray with Conical Hat,4
fig-002877,Cole (LEGO Ninjago Movie),5
fig-002878,Fred Finley,4
fig-002879,Mike the Spike,4
fig-002880,Crusher,5
fig-002881,Nails,5
fig-002882, Ultra Violet,6
fig-002883,Skip Vicious,6
fig-002884,Zane in Snake Jaguar Disguise (Sons of Garmadon),6
fig-002885,Lloyd in Spinjitzu Masters Outfit (Sons of Garmadon),5
fig-002886,Lloyd with Scabbard (Sons of Garmadon),6
fig-002887,Zane with Hair and Quiver (LEGO Ninjago Movie),5
fig-002888,Stone Snake Temple Guardian Statue,5
fig-002889,Nya with Hair and Skirt (LEGO Ninjago Movie),5
fig-002890,Kai with Hair and Scabbard (LEGO Ninjago Movie),5
fig-002891,Lord Garmadon in Jungle Outfit (LEGO Ninjago Movie),6
fig-002892,Skeleton with Vertical Hand Clips (Standard),6
fig-002893,Master Wu in White Robes (LEGO Ninjago Movie),6
fig-002894,Cole with Hair in Bun (LEGO Ninjago Movie),4
fig-002895, Jay with Hair (LEGO Ninjago Movie),4
fig-002896,Lloyd with Hair (LEGO Ninjago Movie),4
fig-002897,Cole with Top Knot,4
fig-002898,Kai (Hunted),5
fig-002899, Jet Jack,5
fig-002900,Kai with Scabbard (Hunted),6
fig-002901,Heavy Metal / Faith with Hat,5
fig-002902,Cole with Bandana (Hunted),5
fig-002903, Chew Toy,6
fig-002904,Skullbreaker,5
fig-002905,Dragon Hunter with Dark Brown Hat,4
fig-002906,Arkade,5
fig-002907,Kai with Scabbard (Hunted),6
fig-002908,Cole with Orange Asian Symbol on Head Wrap (Hunted),5
fig-002909,Dragon Master / Master Wu (Hunted),6
fig-002910,Nomis / Hot Dog Guy,4
fig-002911,Nancy,4
fig-002912,Lord Garmadon (LEGO Ninjago Movie),5
fig-002913,Lloyd (LEGO Ninjago Movie),5
fig-002914,Hammer Head,5
fig-002915,Steve,4
fig-002916, Four Eyes,5
fig-002917,General #1,4
fig-002918,Officer Toque,4
fig-002919,Ham,4
fig-002920,Nya in Leather Jacket,4
fig-002921,Shark Army Thug,4
fig-002922,Lloyd Garmadon in Dark Green Hoodie,4
fig-002923,Master Wu with Tan Hat,5
fig-002924,Lloyd with Shoulder Armor (Hands of Time),5
fig-002925,Jay with Shoulder Armor (Hands of Time),5
fig-002926,Commander Blunck,5
fig-002927,"Time Twin, Young (Acronix / Krux)",5
fig-002928,"Time Twin, Old (Acronix / Krux)",5
fig-002929,Tannin,4
fig-002930,Jay (Hands of Time),4
fig-002931,Jay (LEGO Ninjago Movie),5
fig-002932,Lauren,4
fig-002933,Kai in Fire Mech Outfit (LEGO Ninjago Movie),5
fig-002934,Jelly with Neck Bracket,7
fig-002935,Henry,4
fig-002936, Hammer Head with Black Beard,5
fig-002937,Takuma,4
fig-002938,Jelly,5
fig-002939,Hammer Head,5
fig-002940,Shark Army Great White with Scuba Airtanks,5
fig-002941,Pat,4
fig-002942,Lord Garmadon with Cloth Robes (LEGO Ninjago Movie),6
fig-002943,Shark Army Gunner / Charlie,4
fig-002944,Torben,4
fig-002945, Patty Keys,4
fig-002946,Shark Army Angler,5
fig-002947,Crusty,5
fig-002948,Ed Walker,4
fig-002949, Edna Walker,4
fig-002950,Jelly with Dark Red Beard,5
fig-002951,Cole (LEGO Ninjago Movie),5
fig-002952,Shen-Li,5
fig-002953,Tommy,4
fig-002954,Severin Black,4
fig-002955,Sally,4
fig-002956,Officer Noonan,4
fig-002957,Mother Doomsday with Galidor Logo on Shirt,4
fig-002958,Misako (Koko),4
fig-002959,Mannequin with Pearl Gold Hood,4
fig-002960,Mannequin with Hat and Scarf,5
fig-002961,Konrad,7
fig-002962,Kai with Hair and Open Red Jacket (LEGO Ninjago Movie),4
fig-002963,Juno,4
fig-002964,Jamanakai Villager,5
fig-002965,Ivy Walker,4
fig-002966,Guy,4
fig-002967,Green Ninja Suit,5
fig-002968,Kai with Scabbard (Skybound),5
fig-002969,Zane in Prison Outfit,4
fig-002970,Prison Guard,4
fig-002971, Giant Stone Warrior,7
fig-002972,Captain Soto,5
fig-002973,Flintlocke with Epaulettes,7
fig-002974,Lloyd with Large Shoulder Armour (Skybound),6
fig-002975,Jay with Eyepatch (Skybound),5
fig-002976,Clancee with Epaulettes,4
fig-002977,Doubloon with Epaulettes,6
fig-002978,Zane (Skybound),5
fig-002979,Lloyd (Skybound),4
fig-002980,Krazi,7
fig-002981,Cole ZX,4
fig-002982,Acidicus,3
fig-002983,Chokun,3
fig-002984,Skalidor,3
fig-002985,Master Wu with Pearl Gold Hat,5
fig-002986,Zane ZX,4
fig-002987,Skeleton with Round Brick Head and Round Red Plate Base (Bowling Pin),7
fig-002988,Chopov,6
fig-002989,Lord Garmadon / Overlord (The Final Battle),7
fig-002990,Scout with Yellow Face,5
fig-002991,Swordsman with Blue Face,5
fig-002992,Dareth with Gold Decorations on Legs,4
fig-002993,Nindroid Warrior with Single Sided Head (Rebooted),4
fig-002994,Kai NRG,4
fig-002995,Scout with Blue Face,5
fig-002996,Swordsman with Yellow Face,5
fig-002997,Cole (The Final Battle),4
fig-002998,Zane (The Final Battle),4
fig-002999,General Kozu (The Final Battle),7
fig-003000,Warrior (The Final Battle),7
fig-003001, Kai (The Final Battle),4
fig-003002,Zane in Damaged Techno Robes (Rebooted),5
fig-003003,Nindroid Drone with Neck Bracket,4
fig-003004,Nindroid Warrior,4
fig-003005,Pixal / P.I.X.A.L (Rebooted),4
fig-003006,Nindroid Warrior with Plain Legs,4
fig-003007,Nindroid Warrior with Neck Bracket,5
fig-003008,Ghost Scythe Master Ghoultar,6
fig-003009,Skeleton with Angular Rib Cage,6
fig-003010,Samurai X / Nya (Possession),7
fig-003011,"Lloyd, Possessed",5
fig-003012, Kai in Deepstone Armor (Possession),5
fig-003013,Jay in Deepstone Armor (Possession),5
fig-003014,Cole (Tournament of Elements),5
fig-003015,Ghost Warrior Wail,5
fig-003016,Ghost Warrior Ghurka,6
fig-003017,Ghost Blade Master Bansha,5
fig-003018,Jay with Neck Bracket (Possession),5
fig-003019,Kapau,4
fig-003020,Lloyd with Hair (Tournament of Elements),5
fig-003021,Chop'rai,4
fig-003022,"Pythor P. Chumsworth, White (Tournament of Elements)",3
fig-003023,Garmadon,4
fig-003024,Nindroid Warrior with Neck Bracket with Stud,5
fig-003025,"Master Wu, Evil (Rebooted)",5
fig-003026, Lloyd in Techno Robe Outfit (Rebooted),5
fig-003027,Sensei Garmadon,4
fig-003028,Lloyd in Techno Robe Outfit and Shoulder Armor (Rebooted),6
fig-003029,Cyrus Borg / OverBorg (Rebooted),4
fig-003030,Jay in Techno Robe Outfit (Rebooted),5
fig-003031,Cole in Techno Robe Outfit (Rebooted),5
fig-003032,Ghost Warrior Cowler with Scabbard,6
fig-003033,Ghost Ninja Hackler / Warrior Yokai with Scabbard,5
fig-003034,Cole in Jungle Robes (Tournament of Elements),4
fig-003035,Master Wu (Possession),5
fig-003036,Nya with Shoulder Armor (Possession),5
fig-003037,Morro with Tattered Cape,6
fig-003038,Lloyd with Shoulder Armor (Possession),5
fig-003039,Ghost Bow Master Soul Archer with Legs,5
fig-003040,Zane with Shoulder Armor (Possession),5
fig-003041,Ghost Blade Master Bansha with Legs,5
fig-003042,Cyren in Belt Outfit with Scabbard,5
fig-003043,Jay with Scabbard (Skybound),5
fig-003044,Frakjaw with Goggles and Shoulder Armor,9
fig-003045,Krazi in Red and Black Jester Hat,7
fig-003046,Nya with Bob Hair (Skybound),5
fig-003047,Ronin with Scabbard,6
fig-003048,Zane in Honor Robes with Hair (Day of the Departed),5
fig-003049,Nindroid with Neck Bracket (Day of the Departed),4
fig-003050,Nindroid (Day of the Departed),3
fig-003051,Chope,4
fig-003052,Ghost Warrior Pitch,6
fig-003053,Ghost Bow Master Soul Archer,5
fig-003054,Jay (Tournament of Elements),4
fig-003055,Nitro,6
fig-003056,Zane with Neck Bracket (Sons of Garmadon),6
fig-003057,Jay with Neck Bracket (The Final Battle),5
fig-003058,Jay in Techno Robes Outfit with Shoulder Armor (Rebooted),6
fig-003059,Lloyd in Stone Warrior Armor Outfit (Rebooted),6
fig-003060,Nindroid Drone,3
fig-003061,Overlord / Golden Master (Rebooted),5
fig-003062,Samurai X / Nya (Rebooted),7
fig-003063,Zane in Stone Warrior Armor Outfit (Rebooted),6
fig-003064,Ronin with Dark Red Hat (Possession),6
fig-003065,Kai (Possession),4
fig-003066,Master Yang Statue with 1 x 2 Plate Base,6
fig-003067,Master Wu with Ornate Gold Robe,5
fig-003068,Postman,4
fig-003069,Misako,4
fig-003070,Jesper,5
fig-003071,Dareth,4
fig-003072,Claire,4
fig-003073,Clouse (Tournament of Elements),4
fig-003074, Ghost Student,4
fig-003075, Nya in Airjitzu Outfit,4
fig-003076, Lloyd in Airjitzu Outfit,4
fig-003077,Master Yang,5
fig-003078,Zane with Hair (Day of the Departed),4
fig-003079,Nya with Hair (Day of the Departed),4
fig-003080,Nya (Hunted),4
fig-003081,Lloyd with Neck Bracket and Tile with Clip (Hunted),7
fig-003082,Kai in Jungle Robes (Tournament of Elements),4
fig-003083,"Rubeus Hagrid, Reddish Brown Overcoat",3
fig-003084,"Hermione Granger, Gryffindor Sweater with Time Turner, Cape",5
fig-003085,"Harry Potter, Gryffindor Sweater, Black Cape",5
fig-003086,"Dementor, Sand Green",7
fig-003087,"Sirius Black, Prison Outfit",4
fig-003088,CyberByter,10
fig-003089,Clay Moorington with Tran-Orange Visor,5
fig-003090,InfectoByter / MechaByter,4
fig-003091,MegaByter / Fred,5
fig-003092,Pola,5
fig-003093,Aaron Fox with Trans-Neon Orange Visor,6
fig-003094,VanByter No. 307,5
fig-003095,Robin Underwood with Helmet,5
fig-003096,VanByter No. 407,4
fig-003097,Jestro in Orange and Blue Outfit,5
fig-003098,Axl with Pearl Gold Torso,7
fig-003099,Berserker,7
fig-003100,Macy Halbert with Pearl Gold Armor,7
fig-003101,Stone Stomper,4
fig-003102,Macy Halbert with Trans-Neon Orange Visor,7
fig-003103,Jestro in Orange and Dark Purple Outfit with Tattered Cape,5
fig-003104,Lance Richmond with Trans-Neon Orange Visor and Shoulder Armor,6
fig-003105,Ava Prentis,4
fig-003106,Gargoyle with Dark Purple and Trans-Blue Wings,9
fig-003107,Cezar,17
fig-003108,CyberByter Dennis,12
fig-003109,Lance Richmond with Trans-Neon Orange Visor and Shoulder Armor with Orange Chest Emblem,6
fig-003110,Royal Soldier with Trans-Neon Orange Armor with 2 x 2 Tile with Stud on Back,6
fig-003111,Nexo Knight Soldierwith Helmet with Trans-Neon Orange Plume,5
fig-003112,Nexo Knight Soldier with Trans-Neon Orange Armor,6
fig-003113,Ruina,4
fig-003114,Aaron Fox with Trans-Neon Orange Visor and Silver Armor,6
fig-003115,Queen Halbert with Shoulder Armor,5
fig-003116,Stone Monster with Short Legs and Large Spikes,6
fig-003117,Stone Stomper with No Headwear,3
fig-003118,Gargoyle,9
fig-003119,Harpy,9
fig-003120,Clay Moorington with Trans-Orange Visor and Silver Armor,6
fig-003121,General Garg,9
fig-003122,Clay Moorington / Stone Clay,6
fig-003123,Roog,4
fig-003124,Reex,4
fig-003125,Axl with Trans-Neon Orange Visor,7
fig-003126,Royal Soldier with Trans-Neon Orange Armor,5
fig-003127,Stone Statue,4
fig-003128,Stone Stomper with Small Cracks,4
fig-003129,Robin Underwood with Short Legs and Hair,4
fig-003130,King's Guard with Trans-Neon Orange Armor,5
fig-003131,King Halbert in Blue Outfit,6
fig-003132,Fancy Pants,10
fig-003133,Rogul,4
fig-003134,Lance Bot with White Helmet,12
fig-003135,Macy Bot with Red Helmet,11
fig-003136,Royal Soldier with Dark Azure Armor,5
fig-003137,Lord Krakenskull,6
fig-003138,Aaron Bot with Green Helmet,10
fig-003139,Thief Bot / Robot Hoodlum,11
fig-003140,Axl Bot with Bright Light Orange Helmet,10
fig-003141,Axl in Battle Suit Outfit,7
fig-003142,Clay Moorington with Dark Blue Armor,6
fig-003143,Clay Bot with Blue Helmet and Visor,11
fig-003144,Skylor with Hood,5
fig-003145,Ash,4
fig-003146,Shade,5
fig-003147,"Jay, Avatar",4
fig-003148,Oni Villain with Large Horns,8
fig-003149,Oni Villian,5
fig-003150,Oni Villain with Short Legs,6
fig-003151,Blizzard Archer with Trans-Light Blue Horns,6
fig-003152,Clutch Powers with Utility Belt,5
fig-003153,Kai in Secrets of the Forbidden Spinjitzu Outfit (Legacy),5
fig-003154,Jay in Black Training Gi,4
fig-003155,Sky Pirate with Scabbard,5
fig-003156,Zane in Damaged Robes (Tournament of Elements),4
fig-003157,Sky Pirate with Turban,4
fig-003158,Samurai X / Nya in Black Outfit with Armor,7
fig-003159,Runme,4
fig-003160,Runje,6
fig-003161,Runde,4
fig-003162,Private Puffer,5
fig-003163,Mystake,4
fig-003164,Lil' Nelson,4
fig-003165,Dareth in Black Training Gi,4
fig-003166,Cole with Leather Jacket,4
fig-003167,Chan Kong-Sang,4
fig-003168,Chad,4
fig-003169,Betsy,4
fig-003170,Squire Bot,10
fig-003171,Nexo Knight Soldier with Blue Helmet,2
fig-003172,Nexo Knight Soldier with Blue Helmet with Wide Brim,2
fig-003173,Pilot Bot,11
fig-003174,Flame Thrower,5
fig-003175,Flama,5
fig-003176,General Magmar,6
fig-003177,Clay Moorington with Rounded Shoulder Armor,6
fig-003178,Scurrier,4
fig-003179,Clay Bot with Blue Helmet with Silver Visor,11
fig-003180,Ash Attacker with Orange Horns,7
fig-003181,Crust Smasher with Shoulder Armor,5
fig-003182,Ash Attacker with Wings and Orange Horns,11
fig-003183,Aaron Fox with Tile with Clip on Back,7
fig-003184,Axl with Flat Silver Torso,7
fig-003185,Axl Bot with Silver Helmet,10
fig-003186,Beast Master,4
fig-003187,Macy Halbert with Rounded Shoulder Armor,7
fig-003188,Moltor,4
fig-003189,Aaron Fox with 1 x 2 Plate with Clip on Back,7
fig-003190,Macy Halbert / Ultimate Macy,7
fig-003191,Aaron Fox / Ultimate Aaron,6
fig-003192,Axl / Ultimate Axl,7
fig-003193,Beast Master / Ultimate Beast Master,5
fig-003194,Clay Moorington / Ultimate Clay,6
fig-003195,Flama / Ultimate Flama,5
fig-003196,General Magmar / Ultimate General Magmar,6
fig-003197,Lance Richmond / Ultimate Lance,6
fig-003198,Lavaria / Ultimate Lavaria,9
fig-003199,Clay Moorington / Kid Clay,4
fig-003200,Lance Richmond with Flat Silver Visor and Armor,6
fig-003201,Macy Bot with Silver Helmet,11
fig-003202,Lance Bot with Silver Helmet,10
fig-003203,"Scurrier, Black",4
fig-003204,Lavaria with Cape,5
fig-003205,Jestro with Red and Dark Purple Outfit,5
fig-003206,Bookkeeper,4
fig-003207,Queen Halbert with Cape,5
fig-003208,Aaron Fox with Flat Silver Visor and Armor,6
fig-003209,King's Bot,10
fig-003210,King Halbert in Gold Outfit,6
fig-003211,Crust Smasher with Armor Torso Print,5
fig-003212,Crust Smasher with Quiver,5
fig-003213,Ash Attacker with Flat Silver Horns,7
fig-003214,Flame Thrower with Armor,5
fig-003215,Whiperella,4
fig-003216,Scurrier with Bushy Eyebrows,4
fig-003217,Scurrier with Large Yellow Eyes and Two Long Front Teeth,4
fig-003218,Chef Eclair,10
fig-003219,Aaron Fox with Two Tiles with Clips on Back,8
fig-003220,Jessie with Molded Head,3
fig-003221,Stinky Pete,3
fig-003222,Gabby Gabby,5
fig-003223,Buzz Lightyear,7
fig-003224,Bo Peep,5
fig-003225,Bunny,3
fig-003226,Woody,4
fig-003227,Alien with Magenta Collar,3
fig-003228,Duke Caboom,6
fig-003229,Rex with Tan Underside,5
fig-003230,Jessie with Bow in Hair,5
fig-003231,Green Army Man Medic with Backpack,6
fig-003232,Zurg,6
fig-003233,Lots-o'-Huggin' Bear with Dirt Stains,3
fig-003234,Twitch,6
fig-003235,Jessie with Dirt Stains,3
fig-003236,Buzz Lightyear with Dirt Stains,7
fig-003237,Chunk,3
fig-003238,Lots-o'-Huggin' Bear,3
fig-003239,Woody with Dirt Stains,3
fig-003240,Alien with Purple Stain on Face,3
fig-003241,Alien with Yellow Stain on Face,3
fig-003242,Scooby-Doo with Tongue Hanging Out,2
fig-003243,Fred Jones,4
fig-003244,Shaggy Rogers,4
fig-003245,Zombie / Zeke,3
fig-003246,Scooby-Doo Sitting Down,2
fig-003247,Headless Horseman / Elwood Crane,5
fig-003248,Scooby-Doo Sitting Down with Goggles,2
fig-003249,"Scooby-Doo with Scared, Clenched Teeth",2
fig-003250,Scooby-Doo,2
fig-003251,Black Knight / Mr. Wickles,6
fig-003252,Daphne Blake,4
fig-003253,Ghost / Bluestone the Great,4
fig-003254,Vampire / Bob Oakley,6
fig-003255,Velma Dinkley,4
fig-003256,Mummy / Dr. Najib,4
fig-003257,"Scooby-Doo Sitting Down with Scared, Clenched Teeth",2
fig-003258,Swamp Monster / Mr. Brown,4
fig-003259,Lighthouse Keeper / Verona Dempsey,4
fig-003260,Shaggy Rogers with Starfish and Seaweed on Shirt,4
fig-003261,SpongeBob Squarepants,3
fig-003262,Patrick Star,3
fig-003263,Squidward Tentacles,3
fig-003264,Mr. Krabs,3
fig-003265,Mrs. Puff,3
fig-003266,SpongeBob Squarepants with Tongue Sticking Out and Lever on Head,4
fig-003267,"SpongeBob Squarepants with Wide Eyes and Open Mouth, Scared",3
fig-003268,Patrick Star in Astronaut Suit,3
fig-003269,SpongeBob Squarepants in Astronaut Suit,3
fig-003270,Sandy Cheeks in Astronaut Suit,5
fig-003271,Bikini Bottom Express Bus Driver,4
fig-003272,SpongeBob Squarepants with Bandages,3
fig-003273,Bikini Bottom Doctor,3
fig-003274,Squidward Tentacles with Molded Head,3
fig-003275,SpongeBob Squarepants with Smile and Red Cheeks,3
fig-003276,Patrick Star with Tongue Hanging Out,3
fig-003277,SpongeBob Squarepants with Big Smile with Bottom Teeth,3
fig-003278,Mr. Krabs with Large Grin,3
fig-003279,Bikini Bottom Ice Cream Vendor,4
fig-003280,SpongeBob Squarepants with Big Smile with No Bottom Teeth,3
fig-003281,Sandy Cheeks with White Legs,5
fig-003282,Patrick Star with Bib and Ice Cream Stains,3
fig-003283,SpongeBob Squarepants in Super Hero Outift,4
fig-003284,Patrick Star in Super Hero Outfit,4
fig-003285,Mrs. Puff with Flower,3
fig-003286,Patrick Star with Lei and Sunglasses,3
fig-003287,SpongeBob Squarepants with Lei,3
fig-003288,Squidward Tentacles with Lei,3
fig-003289,SpongeBob Squarepants in Pirate Outfit,4
fig-003290,Patrick Star in Pirate Outfit,3
fig-003291,Flying Dutchman,4
fig-003292,Blossom with Roller Skates,5
fig-003293,Mojo Jojo,6
fig-003294,Bubbles,3
fig-003295,Princess Morbucks,5
fig-003296,Blossom,3
fig-003297,Zombie Groom,4
fig-003298,Zombie Bride,4
fig-003299,Jack McHammer,5
fig-003300,Werewolf,3
fig-003301,Major Quinton Steele,4
fig-003302,Mummy,3
fig-003303,Ann Lee,5
fig-003304,Swamp Creature,4
fig-003305,Frank Rock,4
fig-003306, Lord Vampyre,4
fig-003307,Doctor Rodney Rathbone,4
fig-003308,Ghost with Ball and Chain,7
fig-003309,Ghost with Open Mouth and Brick Built Legs,5
fig-003310,Witch (CMF),4
fig-003311,Zombie in Reddish Brown Suit,3
fig-003312,Crazy Scientist,4
fig-003313,Monster / Frankenstein,4
fig-003314,Skeleton (Standard) (3626c Head),6
fig-003315,Monster Butler / Frankenstein,4
fig-003316,Lord Vampyre's Bride,4
fig-003317,Zombie Chef,4
fig-003318,Bat Monster,4
fig-003319,Michelangelo with Big Smile,4
fig-003320,Foot Soldier,3
fig-003321,Leonardo with Dirt Stains,4
fig-003322,Karai with Bright Light Yellow and Black Hair,4
fig-003323,Foot Soldier with Tactical Vest (2014 Movie),3
fig-003324,Raphael with Clenched Teeth (2014 Movie),4
fig-003325,Leonardo (2014 Movie),5
fig-003326,Karai with Dark Red and Black Hair (2014 Movie),4
fig-003327,April O'Neil with Long Hair (2014 Movie),4
fig-003328,Raphael,4
fig-003329, April O'Neil,4
fig-003330,Donatello with Clenched Teeth,4
